content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,2,DIR,0.2391,1,126.0000,34.2455
VIDEO,2,HEU,2.4433,1,126.0000,34.2455
VIDEO,2,ILP,1418.9279,1,126.0000,34.2455
VIDEO,2,MST,14.8594,1,126.0000,34.2455
AUDIO,2,DIR,0.0091,1,126.0000,34.2455
AUDIO,2,HEU,17.2567,1,126.0000,34.2455
AUDIO,2,ILP,1351.3918,1,126.0000,34.2455
AUDIO,2,MST,15.3978,1,126.0000,34.2455
MESSAGING,2,DIR,0.0131,1,126.0000,34.2455
MESSAGING,2,HEU,1.4148,1,126.0000,34.2455
MESSAGING,2,ILP,1191.5033,1,126.0000,34.2455
MESSAGING,2,MST,14.0014,1,126.0000,34.2455
VIDEO,3,DIR,0.2258,1,252.0000,52.0707
VIDEO,3,HEU,3.5348,1,129.0000,56.7607
VIDEO,3,ILP,7254.2911,1,128.0000,59.6299
VIDEO,3,MST,32.9652,1,129.0000,56.7607
AUDIO,3,DIR,0.0362,1,252.0000,52.0707
AUDIO,3,HEU,2.5616,1,129.0000,56.7607
AUDIO,3,ILP,6756.8865,1,128.0000,59.6299
AUDIO,3,MST,12.1977,1,129.0000,56.7607
MESSAGING,3,DIR,0.0131,1,252.0000,52.0707
MESSAGING,3,HEU,1.9917,1,129.0000,56.7607
MESSAGING,3,ILP,5937.6802,1,128.0000,467.5611
MESSAGING,3,MST,12.8155,1,129.0000,56.7607
VIDEO,4,DIR,0.2563,1,252.0000,35.5463
VIDEO,4,HEU,6.3543,1,129.0000,38.6730
VIDEO,4,ILP,16782.2704,1,128.0000,79.0363
VIDEO,4,MST,14.3504,1,129.0000,41.5086
AUDIO,4,DIR,0.0434,1,252.0000,35.5463
AUDIO,4,HEU,3.4528,1,129.0000,38.6730
AUDIO,4,ILP,13636.6649,1,128.0000,44.9530
AUDIO,4,MST,28.6570,1,129.0000,41.5086
MESSAGING,4,DIR,0.0141,1,252.0000,35.5463
MESSAGING,4,HEU,2.9747,1,129.0000,38.6730
MESSAGING,4,ILP,34869.3275,1,128.0000,40.9393
MESSAGING,4,MST,28.3346,1,129.0000,41.5086
VIDEO,5,DIR,0.2427,1,504.0000,29.5726
VIDEO,5,HEU,7.4840,1,259.0000,48.6533
VIDEO,5,ILP,71062.8722,1,257.0000,103.1093
VIDEO,5,MST,14.0648,1,259.0000,51.8433
AUDIO,5,DIR,0.0160,1,504.0000,29.5726
AUDIO,5,HEU,3.9062,1,259.0000,48.6533
AUDIO,5,ILP,86249.9995,1,257.0000,73.5850
AUDIO,5,MST,12.5456,1,259.0000,51.8433
MESSAGING,5,DIR,0.0212,1,504.0000,29.5726
MESSAGING,5,HEU,4.0929,1,259.0000,48.6533
MESSAGING,5,ILP,202265.3775,1,257.0000,285.4041
MESSAGING,5,MST,29.1874,1,259.0000,51.8433
VIDEO,6,DIR,0.2346,1,504.0000,24.6423
VIDEO,6,HEU,8.0945,1,259.0000,39.9069
VIDEO,6,ILP,290027.8649,1,257.0000,45.3356
VIDEO,6,MST,15.1660,1,259.0000,44.4223
AUDIO,6,DIR,0.0196,1,504.0000,24.6423
AUDIO,6,HEU,5.0251,1,259.0000,39.9069
AUDIO,6,ILP,274719.7297,1,257.0000,71.6914
AUDIO,6,MST,13.5090,1,259.0000,44.4223
MESSAGING,6,DIR,0.0260,1,504.0000,24.6423
MESSAGING,6,HEU,5.4433,1,259.0000,39.9069
MESSAGING,6,ILP,392271.4949,1,257.0000,45.3356
MESSAGING,6,MST,13.3619,1,259.0000,44.4223
VIDEO,7,DIR,0.2584,1,630.0000,26.8116
VIDEO,7,HEU,8.9519,1,261.0000,42.9511
VIDEO,7,ILP,693461.1816,1,258.0000,84.9446
VIDEO,7,MST,15.2395,1,261.0000,44.0797
AUDIO,7,DIR,0.0267,1,630.0000,26.8116
AUDIO,7,HEU,6.1727,1,261.0000,42.9511
AUDIO,7,ILP,674800.7667,1,258.0000,63.4305
AUDIO,7,MST,13.2451,1,261.0000,44.0797
MESSAGING,7,DIR,0.0296,1,630.0000,26.8116
MESSAGING,7,HEU,6.0089,1,261.0000,42.9511
MESSAGING,7,ILP,805630.4624,1,258.0000,41.2384
MESSAGING,7,MST,13.9642,1,261.0000,44.0797
VIDEO,8,DIR,0.2797,1,882.0000,24.1918
VIDEO,8,HEU,10.0732,1,261.0000,49.5151
VIDEO,8,ILP,1341984.4313,1,258.0000,48.7915
VIDEO,8,MST,15.2919,1,261.0000,50.1263
AUDIO,8,DIR,0.0198,1,882.0000,24.1918
AUDIO,8,HEU,23.1965,1,261.0000,49.5151
AUDIO,8,ILP,904642.6070,1,258.0000,70.9725
AUDIO,8,MST,28.9958,1,261.0000,50.1263
MESSAGING,8,DIR,0.0422,1,882.0000,24.1918
MESSAGING,8,HEU,6.8724,1,261.0000,49.5151
MESSAGING,8,ILP,1455310.2009,1,258.0000,48.7915
MESSAGING,8,MST,29.1798,1,261.0000,50.1263
VIDEO,9,DIR,0.2382,1,1010.0000,25.1168
