content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,max_delay
VIDEO,2,DIR,0.2577,1,126.0000,66.6596
VIDEO,2,HEU,2.5024,1,126.0000,66.6596
VIDEO,2,ILP,935.7681,1,126.0000,66.6596
VIDEO,2,MST,12.0208,1,126.0000,66.6596
VIDEO,8,DIR,0.0153,1,513.0000,69.8958
VIDEO,8,HEU,6.9184,1,134.0000,84.6604
VIDEO,8,ILP,413926.9507,1,132.0000,85.1057
VIDEO,8,MST,11.3382,1,133.0000,82.4070
VIDEO,14,DIR,0.0255,1,1272.0000,73.9776
VIDEO,14,HEU,14.4539,1,513.0000,98.2116
VIDEO,14,ILP,2680634.7997,1,509.0000,378.2788
VIDEO,14,MST,12.3503,1,511.0000,117.2878
VIDEO,20,DIR,0.0360,1,1534.0000,73.9776
VIDEO,20,HEU,22.5127,1,517.0000,117.2878
VIDEO,20,MST,12.9454,1,516.0000,125.4739
VIDEO,26,DIR,0.0420,1,1924.0000,73.9776
VIDEO,26,HEU,37.5755,1,521.0000,146.8853
VIDEO,26,MST,13.1786,1,519.0000,138.5805
VIDEO,32,DIR,0.0465,1,2555.0000,73.9776
VIDEO,32,HEU,48.2368,1,646.0000,132.1576
VIDEO,32,MST,13.6054,1,645.0000,148.4636
VIDEO,38,DIR,0.0558,1,3067.0000,81.8154
VIDEO,38,HEU,62.5796,1,648.0000,134.1911
VIDEO,38,MST,14.4253,1,643.0000,152.9647
VIDEO,44,DIR,0.0598,1,3580.0000,81.8154
VIDEO,44,HEU,78.3288,1,651.0000,151.6501
VIDEO,44,MST,14.9043,1,646.0000,155.1966
AUDIO,2,DIR,0.0148,1,126.0000,66.6596
AUDIO,2,HEU,1.1518,1,126.0000,66.6596
AUDIO,2,ILP,1063.6146,1,126.0000,66.6596
AUDIO,2,MST,11.1537,1,126.0000,66.6596
AUDIO,8,DIR,0.0181,1,513.0000,69.8958
AUDIO,8,HEU,7.4177,1,134.0000,84.6604
AUDIO,8,ILP,347663.2483,1,132.0000,85.1057
AUDIO,8,MST,10.9768,1,133.0000,82.4070
AUDIO,14,DIR,0.0255,1,1272.0000,73.9776
AUDIO,14,HEU,13.8519,1,513.0000,98.2116
AUDIO,14,ILP,2588471.5643,1,509.0000,118.9748
AUDIO,14,MST,12.1233,1,511.0000,117.2878
AUDIO,20,DIR,0.0401,1,1534.0000,73.9776
AUDIO,20,HEU,24.5717,1,517.0000,117.2878
AUDIO,20,MST,12.6340,1,516.0000,125.4739
AUDIO,26,DIR,0.0556,1,1924.0000,73.9776
AUDIO,26,HEU,30.3693,1,521.0000,146.8853
AUDIO,26,MST,12.3842,1,519.0000,138.5805
AUDIO,32,DIR,0.0422,1,2555.0000,73.9776
AUDIO,32,HEU,53.0813,1,646.0000,132.1576
AUDIO,32,MST,16.9935,1,645.0000,148.4636
AUDIO,38,DIR,0.0541,1,3067.0000,81.8154
AUDIO,38,HEU,52.6798,1,648.0000,134.1911
AUDIO,38,MST,15.4378,0,0.0000,150.0000
