content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,2,DIR,0.3765,1,126.0000,65.7057
VIDEO,2,HEU,3.2246,1,126.0000,65.7057
VIDEO,2,MST,20.0870,1,126.0000,65.7057
VIDEO,3,DIR,0.0536,1,252.0000,59.8863
VIDEO,3,HEU,2.4536,1,128.0000,85.3934
VIDEO,3,MST,13.3021,1,128.0000,85.3934
VIDEO,4,DIR,0.0339,1,378.0000,61.9956
VIDEO,4,HEU,3.4850,1,254.0000,79.0003
VIDEO,4,MST,12.4030,1,254.0000,79.0003
VIDEO,5,DIR,0.0169,1,503.0000,57.3267
VIDEO,5,HEU,3.7906,1,253.0000,62.9862
VIDEO,5,MST,12.1098,1,253.0000,62.9862
VIDEO,6,DIR,0.0367,1,506.0000,54.8675
VIDEO,6,HEU,5.4703,1,256.0000,80.2955
VIDEO,6,MST,13.2806,1,256.0000,94.6332
VIDEO,7,DIR,0.0157,1,632.0000,54.7341
VIDEO,7,HEU,6.5308,1,256.0000,81.6940
VIDEO,7,MST,13.9668,1,256.0000,103.0896
VIDEO,8,DIR,0.0443,1,636.0000,53.1402
VIDEO,8,HEU,7.2572,1,258.0000,76.9958
VIDEO,8,MST,13.0739,1,258.0000,95.3349
VIDEO,9,DIR,0.0319,1,639.0000,51.6964
VIDEO,9,HEU,8.2312,1,258.0000,73.5391
VIDEO,9,MST,13.1543,1,258.0000,90.1837
VIDEO,10,DIR,0.0327,1,643.0000,50.6082
VIDEO,10,HEU,9.3927,1,259.0000,73.1303
VIDEO,10,MST,12.8684,1,259.0000,85.7707
VIDEO,11,DIR,0.0296,1,769.0000,49.0478
VIDEO,11,HEU,10.7689,1,261.0000,78.1056
VIDEO,11,MST,13.0265,1,259.0000,85.7438
VIDEO,12,DIR,0.0494,1,894.0000,47.4435
VIDEO,12,HEU,11.7402,1,386.0000,73.8597
VIDEO,12,MST,12.8102,1,384.0000,80.8035
VIDEO,13,DIR,0.0353,1,1020.0000,48.0984
VIDEO,13,HEU,12.8393,1,386.0000,75.8713
VIDEO,13,MST,13.7208,1,384.0000,85.5128
VIDEO,14,DIR,0.0231,1,1150.0000,47.2607
VIDEO,14,HEU,14.7960,1,514.0000,72.8973
VIDEO,14,MST,13.2167,1,511.0000,86.5094
VIDEO,15,DIR,0.0226,1,1154.0000,47.3354
VIDEO,15,HEU,14.9138,1,517.0000,73.4862
VIDEO,15,MST,13.5086,1,513.0000,83.7817
VIDEO,16,DIR,0.0322,1,1156.0000,44.6001
VIDEO,16,HEU,15.8587,1,519.0000,69.0075
VIDEO,16,MST,13.6104,1,515.0000,78.6166
VIDEO,17,DIR,0.0479,1,1282.0000,45.7133
VIDEO,17,HEU,19.3324,1,521.0000,69.1123
VIDEO,17,MST,15.4071,1,516.0000,81.5622
VIDEO,18,DIR,0.0272,1,1408.0000,46.8778
VIDEO,18,HEU,18.9528,1,521.0000,70.6724
VIDEO,18,MST,13.2730,1,516.0000,81.7277
VIDEO,19,DIR,0.0579,1,1412.0000,46.5410
VIDEO,19,HEU,19.8741,1,521.0000,70.1735
VIDEO,19,MST,13.6466,1,516.0000,80.0516
VIDEO,20,DIR,0.0272,1,1538.0000,48.3975
VIDEO,20,HEU,21.7264,1,525.0000,69.8605
VIDEO,20,MST,13.1264,1,518.0000,81.1439
VIDEO,21,DIR,0.0639,1,1542.0000,48.0065
VIDEO,21,HEU,22.5856,1,525.0000,67.6182
VIDEO,21,MST,12.9566,1,518.0000,82.4998
VIDEO,22,DIR,0.0389,1,1544.0000,47.8612
VIDEO,22,HEU,23.4089,1,521.0000,80.0087
VIDEO,22,MST,12.8751,1,518.0000,88.0248
VIDEO,23,DIR,0.0551,1,1669.0000,47.1015
