content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,2,DIR,0.2387,1,128.0000,45.8707
VIDEO,2,HEU,2.7246,1,128.0000,45.8707
VIDEO,2,ILP,872.8333,1,128.0000,45.8707
VIDEO,2,MST,12.6646,1,128.0000,45.8707
VIDEO,8,DIR,0.0160,1,1145.0000,54.3554
VIDEO,8,HEU,6.3164,1,386.0000,61.0903
VIDEO,8,ILP,237529.1269,1,383.0000,78.9530
VIDEO,8,MST,10.7050,1,385.0000,59.8468
VIDEO,14,DIR,0.0215,1,2406.0000,52.7496
VIDEO,14,HEU,12.4347,1,638.0000,74.9854
VIDEO,14,ILP,2671373.5189,1,633.0000,74.2448
VIDEO,14,MST,11.8306,1,636.0000,74.7444
VIDEO,20,DIR,0.0348,1,3673.0000,58.1237
VIDEO,20,HEU,19.2742,1,649.0000,80.1967
VIDEO,20,MST,13.5920,1,645.0000,85.0009
VIDEO,26,DIR,0.0527,1,5055.0000,60.3116
VIDEO,26,HEU,34.2307,1,653.0000,84.9970
VIDEO,26,MST,13.8247,1,646.0000,87.8071
VIDEO,32,DIR,0.0489,1,5952.0000,59.4966
VIDEO,32,HEU,45.2440,1,656.0000,83.5575
VIDEO,32,MST,14.5514,1,649.0000,84.5355
VIDEO,38,DIR,0.0596,1,7091.0000,57.7922
VIDEO,38,HEU,53.9913,1,659.0000,85.4550
VIDEO,38,MST,13.9318,1,650.0000,90.5601
VIDEO,44,DIR,0.0603,1,8232.0000,57.1209
VIDEO,44,HEU,62.4642,1,658.0000,84.4204
VIDEO,44,MST,14.8993,1,647.0000,92.0063
AUDIO,2,DIR,0.0134,1,128.0000,45.8707
AUDIO,2,HEU,1.1144,1,128.0000,45.8707
AUDIO,2,ILP,954.1159,1,128.0000,45.8707
AUDIO,2,MST,11.7230,1,128.0000,45.8707
AUDIO,8,DIR,0.0207,1,1145.0000,54.3554
AUDIO,8,HEU,7.6187,1,386.0000,61.0903
AUDIO,8,ILP,343683.2530,1,383.0000,71.1291
AUDIO,8,MST,12.1968,1,385.0000,59.8468
AUDIO,14,DIR,0.0358,1,2406.0000,52.7496
AUDIO,14,HEU,15.3365,1,638.0000,74.9854
AUDIO,14,ILP,2796978.2460,1,633.0000,74.1508
AUDIO,14,MST,12.1756,1,636.0000,74.7444
AUDIO,20,DIR,0.0379,1,3673.0000,58.1237
AUDIO,20,HEU,22.2313,1,649.0000,80.1967
AUDIO,20,MST,16.5613,1,645.0000,85.0009
AUDIO,26,DIR,0.0434,1,5055.0000,60.3116
AUDIO,26,HEU,35.9132,1,654.0000,84.2426
AUDIO,26,MST,14.5867,1,646.0000,87.8071
AUDIO,32,DIR,0.0515,1,5952.0000,59.4966
AUDIO,32,HEU,47.7021,1,657.0000,82.9491
AUDIO,32,MST,15.1241,1,649.0000,84.5355
AUDIO,38,DIR,0.0589,1,7091.0000,57.7922
AUDIO,38,HEU,59.8087,1,660.0000,84.4356
AUDIO,38,MST,17.2405,0,0.0000,0.0000
AUDIO,44,DIR,0.0653,1,8232.0000,57.1209
AUDIO,44,HEU,70.8163,1,659.0000,82.2373
AUDIO,44,MST,15.8367,0,0.0000,0.0000
MESSAGING,2,DIR,0.0160,1,128.0000,45.8707
MESSAGING,2,HEU,1.2505,1,128.0000,45.8707
MESSAGING,2,ILP,1020.5193,1,128.0000,45.8707
MESSAGING,2,MST,12.3978,1,128.0000,45.8707
MESSAGING,8,DIR,0.0226,1,1145.0000,54.3554
MESSAGING,8,HEU,8.2495,1,386.0000,61.0903
MESSAGING,8,ILP,624508.0829,1,383.0000,60.9566
MESSAGING,8,MST,13.0157,1,385.0000,59.8468
MESSAGING,14,DIR,0.0293,1,2406.0000,52.7496
MESSAGING,14,HEU,16.7017,1,638.0000,74.9854
MESSAGING,14,ILP,3394482.1258,1,633.0000,74.1508
MESSAGING,14,MST,11.4555,1,636.0000,74.7444
MESSAGING,20,DIR,0.0308,1,3673.0000,58.1237
MESSAGING,20,HEU,20.6017,1,649.0000,80.1967
MESSAGING,20,MST,12.2089,1,645.0000,85.0009
MESSAGING,26,DIR,0.0377,1,5055.0000,60.3116
MESSAGING,26,HEU,28.3587,1,653.0000,84.9970
MESSAGING,26,MST,13.4773,1,646.0000,87.8071
MESSAGING,32,DIR,0.0432,1,5952.0000,59.4966
MESSAGING,32,HEU,39.2323,1,656.0000,83.5575
MESSAGING,32,MST,13.1657,1,649.0000,84.5355
MESSAGING,38,DIR,0.0491,1,7091.0000,57.7922
MESSAGING,38,HEU,47.0512,1,659.0000,85.4550
MESSAGING,38,MST,15.4474,1,650.0000,90.5601
MESSAGING,44,DIR,0.0558,1,8232.0000,57.1209
MESSAGING,44,HEU,56.6566,1,658.0000,84.4204
MESSAGING,44,MST,13.7196,1,647.0000,92.0063
VIDEO,3,DIR,0.2284,1,381.0000,53.5151
VIDEO,3,HEU,4.1025,1,253.0000,58.9844
VIDEO,3,ILP,2864.3878,1,253.0000,58.9844
VIDEO,3,MST,12.0437,1,253.0000,58.9844
VIDEO,9,DIR,0.0157,1,1272.0000,53.5613
VIDEO,9,HEU,9.6004,1,387.0000,59.5173
VIDEO,9,ILP,502777.0915,1,384.0000,59.4908
VIDEO,9,MST,10.6709,1,386.0000,61.8896
VIDEO,15,DIR,0.0241,1,2536.0000,51.2516
VIDEO,15,HEU,13.9740,1,640.0000,76.3857
VIDEO,15,ILP,3384428.0574,1,634.0000,77.3776
VIDEO,15,MST,12.8791,1,638.0000,76.2574
VIDEO,21,DIR,0.0486,1,3924.0000,57.1142
VIDEO,21,HEU,21.2934,1,649.0000,80.1192
VIDEO,21,MST,12.1386,1,645.0000,84.9179
VIDEO,27,DIR,0.0474,1,5306.0000,60.6580
VIDEO,27,HEU,32.5880,1,653.0000,86.3603
VIDEO,27,MST,12.3131,1,646.0000,87.6401
VIDEO,33,DIR,0.0527,1,6203.0000,58.9473
VIDEO,33,HEU,42.4576,1,656.0000,83.5516
VIDEO,33,MST,13.0143,1,649.0000,84.6333
VIDEO,39,DIR,0.0551,1,7344.0000,57.3470
VIDEO,39,HEU,53.2358,1,660.0000,84.1487
VIDEO,39,MST,13.7441,1,650.0000,91.2469
VIDEO,45,DIR,0.0672,1,8483.0000,57.3428
VIDEO,45,HEU,65.0883,1,658.0000,86.4542
VIDEO,45,MST,14.7545,1,647.0000,93.6178
AUDIO,3,DIR,0.0136,1,381.0000,53.5151
AUDIO,3,HEU,2.1379,1,253.0000,58.9844
AUDIO,3,ILP,3241.8246,1,253.0000,58.9844
AUDIO,3,MST,12.3029,1,253.0000,58.9844
AUDIO,9,DIR,0.0222,1,1272.0000,53.5613
AUDIO,9,HEU,9.0156,1,387.0000,59.5173
AUDIO,9,ILP,597043.4411,1,384.0000,59.4908
AUDIO,9,MST,11.7791,1,386.0000,61.8896
AUDIO,15,DIR,0.0284,1,2536.0000,51.2516
AUDIO,15,HEU,15.4154,1,640.0000,76.3857
AUDIO,15,MST,20.6761,1,638.0000,76.2574
AUDIO,21,DIR,0.0479,1,3924.0000,57.1142
AUDIO,21,HEU,39.1161,1,649.0000,80.1192
AUDIO,21,MST,12.6123,1,645.0000,84.9179
AUDIO,27,DIR,0.0408,1,5306.0000,60.6580
AUDIO,27,HEU,34.2660,1,654.0000,85.6350
AUDIO,27,MST,13.3641,1,646.0000,87.6401
AUDIO,33,DIR,0.0606,1,6203.0000,58.9473
AUDIO,33,HEU,45.0697,1,657.0000,82.9623
AUDIO,33,MST,13.9184,1,649.0000,84.6333
AUDIO,39,DIR,0.0582,1,7344.0000,57.3470
AUDIO,39,HEU,60.6775,1,661.0000,83.1561
AUDIO,39,MST,14.6019,0,0.0000,0.0000
AUDIO,45,DIR,0.0751,1,8483.0000,57.3428
AUDIO,45,HEU,67.7993,1,659.0000,83.6096
AUDIO,45,MST,15.1513,0,0.0000,0.0000
MESSAGING,3,DIR,0.0155,1,381.0000,53.5151
MESSAGING,3,HEU,2.0866,1,253.0000,58.9844
MESSAGING,3,ILP,3957.1826,1,253.0000,520.1486
MESSAGING,3,MST,12.5198,1,253.0000,58.9844
MESSAGING,9,DIR,0.0224,1,1272.0000,53.5613
MESSAGING,9,HEU,9.2061,1,387.0000,59.5173
MESSAGING,9,ILP,888300.9419,1,384.0000,59.4908
MESSAGING,9,MST,11.9567,1,386.0000,61.8896
MESSAGING,15,DIR,0.0274,1,2536.0000,51.2516
MESSAGING,15,HEU,16.1211,1,640.0000,76.3857
MESSAGING,15,MST,20.9005,1,638.0000,76.2574
MESSAGING,21,DIR,0.0498,1,3924.0000,57.1142
MESSAGING,21,HEU,43.1209,1,649.0000,80.1192
MESSAGING,21,MST,12.6100,1,645.0000,84.9179
MESSAGING,27,DIR,0.0458,1,5306.0000,60.6580
MESSAGING,27,HEU,33.8213,1,653.0000,86.3603
MESSAGING,27,MST,13.1638,1,646.0000,87.6401
MESSAGING,33,DIR,0.0472,1,6203.0000,58.9473
MESSAGING,33,HEU,45.5816,1,656.0000,83.5516
MESSAGING,33,MST,14.0514,1,649.0000,84.6333
MESSAGING,39,DIR,0.0639,1,7344.0000,57.3470
